# Time(days) Flux(e/s)
3315.499418 0.791849
3315.501733 0.786364
3315.504048 0.800599
3315.506363 0.794072
3315.508678 0.796210
3315.510992 0.798540
3315.513307 0.812869
3315.515622 0.818623
3315.517937 0.846187
3315.520252 0.865996
3315.522566 0.885463
3315.524881 0.904232
3315.527196 0.927172
3315.529511 0.938865
3315.531826 0.956937
3315.534141 0.978517
3315.536455 0.990266
3315.538770 1.011451
3315.541085 1.028754
3315.543400 1.037583
3315.545715 1.037587
3315.548029 1.058643
3315.550344 1.067335
3315.552659 1.082181
3315.554974 1.089209
3315.557289 1.092265
3315.559603 1.103031
3315.561918 1.111709
3315.564233 1.118680
3315.566548 1.121166
3315.568863 1.131036
3315.571177 1.132571
3315.573492 1.123375
3315.575807 1.134255
3315.578122 1.133086
3315.580437 1.134319
3315.582751 1.133049
3315.585066 1.129785
3315.587381 1.129109
3315.589696 1.126527
3315.592011 1.116250
3315.594325 1.111662
3315.596640 1.105991
3315.598955 1.096295
3315.601270 1.096530
3315.603585 1.085063
3315.605899 1.073453
3315.608214 1.065262
3315.610529 1.055537
3315.612844 1.043163
3315.615159 1.030930
3315.617473 1.023927
3315.619788 1.021454
3315.622103 1.002011
3315.624418 0.993729
3315.626733 0.971537
3315.629048 0.953005
3315.631362 0.928550
3315.633677 0.909641
3315.635992 0.888900
3315.638307 0.865733
3315.640622 0.844714
3315.642936 0.820945
3315.645251 0.802313
3315.647566 0.796733
3315.649881 0.788749
3315.652196 0.787157
3315.654510 0.784868
3315.656825 0.786503
3315.659140 0.787640
3315.661455 0.789885
3315.663770 0.786529
3315.666084 0.790927
3315.668399 0.795457
3315.670714 0.782396
3315.673029 0.781482
3315.675344 0.786799
3315.677658 0.787165
3315.679973 0.785169
3315.682288 0.786713
3315.684603 0.809999
3315.686918 0.823426
3315.689232 0.847249
3315.691547 0.867771
3315.693862 0.888428
3315.696177 0.917245
3315.698492 0.939324
3315.700806 0.958013
3315.703121 0.976447
3315.705436 0.996130
3315.707751 1.011139
3315.710066 1.025117
3315.712381 1.036450
3315.714695 1.048954
3315.717010 1.053421
3315.719325 1.071897
3315.721640 1.076439
3315.723955 1.088539
3315.726269 1.098325
3315.728584 1.104198
3315.730899 1.108660
3315.733214 1.126946
3315.735529 1.131363
3315.737843 1.137463
3315.740158 1.143003
3315.742473 1.155011
3315.744788 1.154754
3315.747103 1.155394
3315.749417 1.158522
3315.751732 1.160056
3315.754047 1.162496
3315.756362 1.154820
3315.758677 1.155973
3315.760991 1.142506
3315.763306 1.145551
3315.765621 1.142892
3315.767936 1.137256
3315.770251 1.125629
3315.772565 1.122363
3315.774880 1.102033
3315.777195 1.101336
3315.779510 1.089335
3315.781825 1.073997
3315.784139 1.059921
3315.786454 1.053156
3315.788769 1.042032
